iccad2_config train --->INFO--->2024-06-13 11:11:47,515--->2024-06-13 11:11:47.515195: step 0, loss = 0.06, learning_rate = 0.001000, training_accu = 0.593750, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:11:51,563--->2024-06-13 11:11:51.563470: step 100, loss = 0.01, learning_rate = 0.000650, training_accu = 0.968750, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:11:55,590--->2024-06-13 11:11:55.590551: step 200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:11:59,637--->2024-06-13 11:11:59.637724: step 300, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:03,697--->2024-06-13 11:12:03.697199: step 400, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:07,789--->2024-06-13 11:12:07.789240: step 500, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:11,827--->2024-06-13 11:12:11.827160: step 600, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:15,895--->2024-06-13 11:12:15.895254: step 700, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:19,898--->2024-06-13 11:12:19.898128: step 800, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:23,913--->2024-06-13 11:12:23.913704: step 900, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:27,921--->2024-06-13 11:12:27.921789: step 1000, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:31,949--->2024-06-13 11:12:31.949291: step 1100, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:35,969--->2024-06-13 11:12:35.969472: step 1200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:40,093--->2024-06-13 11:12:40.093768: step 1300, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:44,233--->2024-06-13 11:12:44.233282: step 1400, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:48,284--->2024-06-13 11:12:48.284748: step 1500, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:52,428--->2024-06-13 11:12:52.428335: step 1600, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:12:56,467--->2024-06-13 11:12:56.467448: step 1700, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:00,456--->2024-06-13 11:13:00.456517: step 1800, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:04,451--->2024-06-13 11:13:04.451424: step 1900, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:08,442--->2024-06-13 11:13:08.442097: step 2000, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:12,435--->2024-06-13 11:13:12.435282: step 2100, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:16,434--->2024-06-13 11:13:16.434422: step 2200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:20,420--->2024-06-13 11:13:20.420733: step 2300, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:24,417--->2024-06-13 11:13:24.417422: step 2400, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:28,405--->2024-06-13 11:13:28.405584: step 2500, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:32,402--->2024-06-13 11:13:32.402973: step 2600, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:36,394--->2024-06-13 11:13:36.393659: step 2700, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:40,390--->2024-06-13 11:13:40.390240: step 2800, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:44,386--->2024-06-13 11:13:44.386764: step 2900, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:48,388--->2024-06-13 11:13:48.388308: step 3000, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:52,397--->2024-06-13 11:13:52.397984: step 3100, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:13:56,411--->2024-06-13 11:13:56.411635: step 3200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:00,418--->2024-06-13 11:14:00.418744: step 3300, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:04,419--->2024-06-13 11:14:04.419233: step 3400, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:08,424--->2024-06-13 11:14:08.424522: step 3500, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:12,431--->2024-06-13 11:14:12.431086: step 3600, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:16,449--->2024-06-13 11:14:16.449027: step 3700, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:20,449--->2024-06-13 11:14:20.449413: step 3800, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:24,593--->2024-06-13 11:14:24.593808: step 3900, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:28,590--->2024-06-13 11:14:28.590541: step 4000, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:32,610--->2024-06-13 11:14:32.610509: step 4100, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:36,583--->2024-06-13 11:14:36.583802: step 4200, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:40,562--->2024-06-13 11:14:40.562515: step 4300, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:44,584--->2024-06-13 11:14:44.584895: step 4400, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:48,570--->2024-06-13 11:14:48.570272: step 4500, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
